,Username,Posts per Day,Posts per Week,Posts per Month,Total Posts,Engagement Rate,Total Followers,Average User Activity,Influncer_bio
0,@yasmine_sabri,0.39,2.71,11.61,1200,0.92,21600000,61.22,Bio I DreamInstagram Handle  @yasmine_sabriInstagram Followers  20.9M Get Email Contact
1,@hannahelzahed,0.15,1.04,4.44,1200,1.95,20000000,100.0,Bio Le meilleur est à venir              Yarab 6 🕊🧿Instagram Handle  @hannahelzahedInstagram Followers  19.1M Get Email Contact
2,@radwaelsherbiny,0.16,1.14,4.86,1300,0.85,15400000,56.54,Bio Lifestyle TV presenter @CBCSofra#رضوى_الشربينيInstagram Handle  @radwaelsherbinyInstagram Followers  14.9M Get Email Contact
3,@donia.samir.ghanem,0.1,0.69,2.98,1600,0.5,15100000,33.23,"Bio Actress, singer, good will ambassador to Unicef Egypt & mother of Kayla Ramy Radwan... proud to be Samir Ghanem & Dalal Abd El Aziz daughter ❤️🙏Instagram Handle  @donia.samir.ghanemInstagram Followers  15M Get Email Contact"
4,@nesreentafesh,0.02,0.14,0.58,3400,0.33,13000000,22.04,Bio Actress lightworker traveler 🌞💕 As above so below 💫وَجَعَلْنَا لَهُ نُورًا يَمْشِي بِهِ فِي النَّاسِInstagram Handle  @nesreentafeshInstagram Followers  12.4M Get Email Contact
5,@aytenamer,0.03,0.19,0.84,2300,0.1,12900000,6.61,Bio Egyptian actress / singerInstagram Handle  @aytenamerInstagram Followers  12.8M Get Email Contact
6,@heba_magdi,0.01,0.08,0.34,1600,0.64,12900000,42.93,Bio Egyptian Actress and SingerInstagram Handle  @heba_magdiInstagram Followers  12.6M Get Email Contact
7,@ramezgalalac,0.04,0.28,1.2,1300,0.71,12600000,47.66,Bio Egyptian Actorالبرومو الرسمي لبرنامج #رامز_نيفر_إند#RamezGalal #رامز_جلالInstagram Handle  @ramezgalalacInstagram Followers  12.6M Get Email Contact
8,@hamaki,0.11,0.74,3.19,1100,0.65,12500000,43.36,"Bio Best Middle Eastern Artist By MTV, BAMA.. Best Selling Middle Eastern Artist by EMI.. 1st Tour N Cure Ambassador in The Middle EastInstagram Handle  @hamakiInstagram Followers  12.3M Get Email Contact"
9,@mohamedemam,0.13,0.88,3.79,1100,0.26,12200000,17.11,Bio Filmmaking 🎥Instagram Handle  @mohamedemamInstagram Followers  12M Get Email Contact
10,@sherine,0.02,0.14,0.58,627,1.51,12100000,100.0,"Bio An Egyptian award winning, singer, actress, and a mother of two beautiful daughters.Instagram Handle  @sherineInstagram Followers  11.9M Get Email Contact"
11,@assala_official,0.02,0.17,0.73,959,0.37,10800000,24.65,Bio A Syrian musical artist. 📬 ****@brandstamp.media استمعوا الي جديدي #شبيه_روحي 👇🏻Instagram Handle  @assala_officialInstagram Followers  11.7M Get Email Contact
12,@kindaalloush,0.02,0.17,0.73,959,0.37,10800000,24.65,Bio Syrian Actress based in Cairo@unhcr_arabic High Profile SupporterWife & Mother of Hayat & Karim❤️Business enquiries:****@madcelebrity.comInstagram Handle  @kindaalloushInstagram Followers  10.8M Get Email Contact
13,@ramadansobhi51,0.06,0.44,1.89,687,0.28,10200000,18.5,Instagram Handle  @ramadansobhi51Instagram Followers  9.6M Get Email Contact
14,@aliirabee1989,0.13,0.88,3.79,1300,0.19,8800000,12.99,Bio ActorInstagram Handle  @aliirabee1989Instagram Followers  8.7M Get Email Contact
15,@moustfakhater,0.07,0.49,2.09,1800,0.55,8700000,36.66,Bio Egyptian actorInstagram Handle  @moustfakhaterInstagram Followers  8.6M Get Email Contact
16,@osossssssss,0.07,0.46,1.97,1600,0.27,7900000,18.08,Bio Egyptian actorInstagram Handle  @osossssssssInstagram Followers  7.8M Get Email Contact
17,@ramysabry8,1.0,7.0,30.0,2100,1.73,7800000,100.0,Bio Singer & Composer•Universal Music MENA award•Best middle eastern artist by Middle East music awardbooking****@gmail.com ملك الفرفشةInstagram Handle  @ramysabry8Instagram Followers  7M Get Email Contact
18,@nellykarim_official,0.11,0.76,3.27,995,0.17,7800000,11.56,Bio Multi-award-winning actress|@unmigration Ambassador|face of @jaegerlecoultre & @lazurde|prima ballerina|most importantly mother to 4 wonderful humansInstagram Handle  @nellykarim_officialInstagram Followers  7.8M Get Email Contact
19,@mirhanhusseinmima,0.38,2.62,11.25,3100,0.42,7100000,28.32,Bio https://youtu.be/295zQ5G-JYwInstagram Handle  @mirhanhusseinmimaInstagram Followers  7M Get Email Contact
20,@ahmedhas0san,0.04,0.26,1.1,90,0.11,7000000,7.08,Bio - Youtuber +9M Subscribers - My Wife : @zenap_mohamed - My Kids : @ianhas0san @aileenhas0san - For Ads : ****@gmail.comInstagram Handle  @ahmedhas0sanInstagram Followers  7.2M Get Email Contact
21,@rihamhagag,0.31,2.15,9.23,636,0.06,7000000,3.88,Bio 🇪🇬 ActressInstagram Handle  @rihamhagagInstagram Followers  5.8M Get Email Contact
22,@shimaaseif,0.09,0.62,2.67,2800,0.4,6800000,26.99,Bio الضحكة بالضحكة والبادئ اجمل 😊ملحوظة كل الصور معدلة بالفوتوشوب من أجل ذكريات سعيدة 👌🙊👸Instagram Handle  @shimaaseifInstagram Followers  6.8M Get Email Contact
23,@hamadahelaleg,0.04,0.27,1.17,1200,0.84,6600000,55.99,Bio اسمع اغنية متحملاني من هنا👇Instagram Handle  @hamadahelalegInstagram Followers  6.4M Get Email Contact
24,@mohamedanwar71,0.07,0.49,2.11,719,0.75,6500000,49.91,Bio Egyptian ActorInstagram Handle  @mohamedanwar71Instagram Followers  6.4M Get Email Contact
25,@ashrafabdilbaky,0.12,0.85,3.64,1100,0.32,6300000,21.14,Bio أشرف عبد الباقيFounder:@workshopegypt@tante.egInstagram Handle  @ashrafabdilbakyInstagram Followers  6.2M Get Email Contact
26,@ahmadfahmy_official,0.1,0.71,3.03,613,1.13,6300000,75.25,"Bio Egyptian Actor, WriterInstagram Handle  @ahmadfahmy_officialInstagram Followers  6M Get Email Contact"
